entry_time,exit_time,direction,action,entry_spot,exit_spot,stop_loss,target,lots,units,entry_premium,exit_premium,strike,gross_pnl,costs,pnl,risk,exit_reason,confidence,bars_held,regime
2022-11-18 15:30:00+05:30,2022-11-28 15:30:00+05:30,UP,BUY_CALL,22551.46210971508,21765.663208142083,21765.663208142083,23730.16046207458,4,200,189.05510269141269,0.34696243452721376,22700.0,-15124.408215313017,758.2117305820163,-15882.619945895032,37811.02053828254,STOP+PREMIUM_STOP,81.95424748736936,6,RANGE
2022-12-12 15:30:00+05:30,2022-12-14 15:30:00+05:30,DOWN,BUY_PUT,20439.81116255565,19352.101332900173,21164.951048992632,19352.101332900173,4,200,168.34521217396104,1023.5654521714096,20400.0,171044.0479994897,1297.3115621877023,169746.736437302,33669.04243479221,TARGET,88.09447982461666,2,DOWNTREND
2022-12-16 15:30:00+05:30,2022-12-26 15:30:00+05:30,DOWN,BUY_PUT,18604.616938482257,17625.81213509249,19257.153474075436,17625.81213509249,5,250,154.51832706668756,912.6013039844365,18550.0,189520.74422943723,2088.731939520101,187432.01228991713,38629.581766671894,TARGET,92.66611767460849,6,STRONG_DOWNTREND
2022-12-27 15:30:00+05:30,2022-12-28 15:30:00+05:30,DOWN,BUY_PUT,17697.770316196442,18323.32120359791,18323.32120359791,16759.443985094244,6,300,130.3174369955259,5.675871119757517,17650.0,-15638.09243946311,198.05949696677663,-15836.151936429886,39095.231098657765,STOP+PREMIUM_STOP,96.13557166118638,1,STRONG_DOWNTREND
2022-12-29 15:30:00+05:30,2022-12-30 15:30:00+05:30,DOWN,BUY_PUT,17853.60278376212,18480.07835501668,18480.07835501668,16913.889426880276,5,250,156.1670410429697,14.45201096460869,17800.0,-15616.70410429697,550.0893145986972,-16166.793418895668,39041.76026074242,STOP+PREMIUM_STOP,95.48595226012078,1,STRONG_DOWNTREND
2023-01-27 15:30:00+05:30,2023-02-06 15:30:00+05:30,UP,BUY_CALL,20722.44371135093,21171.602848513117,20001.32663084887,21804.11933210402,5,250,156.9361428571283,317.59653472265563,20900.0,40165.097966381836,2446.852388125825,37718.245578256014,39234.03571428207,TIME_STOP,73.1834762727135,6,RANGE
2023-02-13 15:30:00+05:30,2023-02-21 15:30:00+05:30,UP,BUY_CALL,20993.47617059584,20916.752479831663,20255.791824020744,21876.350554164535,5,250,154.22501076479966,28.527167469623237,21150.0,-15422.501076479968,592.3714770442194,-16014.872553524188,38556.252691199916,TIME_STOP+PREMIUM_STOP,72.44106842938636,6,UPTREND
2023-03-03 15:30:00+05:30,2023-03-14 15:30:00+05:30,DOWN,BUY_PUT,20279.63201278548,19603.22453735037,20991.62698967117,19211.639547456947,5,250,149.72914503817447,589.1155503365408,20200.0,109846.60132459158,3811.161673579987,106035.43965101159,37432.286259543616,TIME_STOP,81.42943075909879,6,RANGE
2023-03-17 15:30:00+05:30,2023-03-27 15:30:00+05:30,DOWN,BUY_PUT,19234.106233195835,19021.35920222287,19907.7822472988,18223.592212041385,5,250,159.91860740179072,203.80982693657097,19200.0,10972.804883695062,705.4221179060759,10267.382765788987,39979.651850447684,TIME_STOP,98.20726627917502,6,STRONG_DOWNTREND
2023-04-06 15:30:00+05:30,2023-04-17 15:30:00+05:30,DOWN,BUY_PUT,19196.57922016311,19732.033371366862,19732.033371366862,18393.397993357477,5,250,154.03636601585458,2.5158785537328185,19150.0,-15403.63660158546,189.02675415019456,-15592.663355735654,38509.091503963646,STOP+PREMIUM_STOP,82.82464576747802,5,DOWNTREND
2023-06-12 15:30:00+05:30,2023-06-12 15:30:00+05:30,DOWN,BUY_PUT,20024.197552986763,20733.711287317004,20733.711287317004,18959.9269514914,5,250,149.6917946361973,11.47689503314109,19950.0,-14969.179463619732,519.0932493958145,-15488.272713015547,37422.948659049325,STOP+PREMIUM_STOP,69.69050894488058,0,RANGE
2023-08-16 15:30:00+05:30,2023-08-24 15:30:00+05:30,DOWN,BUY_PUT,20424.057479920422,20842.13488286509,21139.960133246663,19350.20349993106,4,200,182.2384984920318,19.933043063124387,20350.0,-14579.079879362544,521.9984639352803,-15101.078343297824,36447.69969840636,TIME_STOP+PREMIUM_STOP,77.06691894634031,6,DOWNTREND
2023-10-16 15:30:00+05:30,2023-10-25 15:30:00+05:30,UP,BUY_CALL,21519.26140714272,21750.62930081487,20763.941794107577,22652.240826695433,5,250,154.88348230263182,140.11436905481423,21650.0,-3692.2783119543965,979.0147087366481,-4671.293020691044,38720.87057565796,TIME_STOP,84.36211730546593,6,RANGE
2023-10-26 15:30:00+05:30,2023-11-01 15:30:00+05:30,UP,BUY_CALL,21737.932617049337,21242.31272796968,21242.31272796968,22481.362450668825,4,200,188.41108662310762,18.865927671060945,21900.0,-15072.88692984861,534.8759063333213,-15607.762836181932,37682.217324621524,STOP+PREMIUM_STOP,89.51355705197214,4,RANGE
2023-11-09 15:30:00+05:30,2023-11-16 15:30:00+05:30,DOWN,BUY_PUT,20840.91053524093,21570.979558701332,21570.979558701332,19745.80700005033,4,200,182.00087217301916,4.638716317862986,20800.0,-14560.069773841533,180.60225526401226,-14740.672029105544,36400.17443460383,STOP+PREMIUM_STOP,75.1990391922592,4,RANGE
2023-12-11 15:30:00+05:30,2023-12-19 15:30:00+05:30,UP,BUY_CALL,22846.614208757783,22742.1288932242,22052.71018382848,24037.470246151737,4,200,174.76430474847075,30.196616403746702,23000.0,-13981.14437987766,531.1383051076012,-14512.28268498526,34952.86094969415,TIME_STOP+PREMIUM_STOP,93.19864647304877,6,RANGE
2023-12-20 15:30:00+05:30,2023-12-29 15:30:00+05:30,UP,BUY_CALL,22771.672148350102,23311.9088108254,21975.697637087254,23965.633915244372,4,200,193.82464363429972,419.23307062278036,22950.0,45081.68539769613,1646.4127065763705,43435.27269111976,38764.928726859944,TIME_STOP,80.02762769810899,6,STRONG_UPTREND
2024-01-01 15:30:00+05:30,2024-01-09 15:30:00+05:30,UP,BUY_CALL,23244.15169183001,23863.463290508796,22458.535938423174,24422.57532194027,4,200,177.8907751388615,479.82765419448333,23400.0,60387.375811124366,1768.33581541988,58619.03999570449,35578.1550277723,TIME_STOP,98.41729733129276,6,UPTREND
2024-01-12 15:30:00+05:30,2024-01-17 15:30:00+05:30,UP,BUY_CALL,23677.716459987576,22849.900881747868,22849.900881747868,24919.439827347138,4,200,191.6692729244005,5.208549631913684,23850.0,-15333.54183395204,789.0790705939405,-16122.62090454598,38333.8545848801,STOP+PREMIUM_STOP,78.28623480899716,3,STRONG_UPTREND
