date,open,high,low,close,volume
2021-12-02 15:30:00+05:30,17500.0,17646.252314779264,17426.442395395665,17573.659405368067,605050
2021-12-03 15:30:00+05:30,17712.428613022847,17762.78838943223,17605.628739639742,17699.06016065389,812733
2021-12-06 15:30:00+05:30,17603.786176242862,17607.420423843123,17372.795168972123,17508.733304359295,936418
2021-12-07 15:30:00+05:30,17440.76879491795,18123.594387632795,17406.051974183938,17983.662744765013,629866
2021-12-08 15:30:00+05:30,17889.377586907583,18076.548239819545,17806.681081970164,18012.448435395665,966642
2021-12-09 15:30:00+05:30,17941.450122353202,18517.84586928483,17606.15228494856,18434.215054979806,739756
2021-12-10 15:30:00+05:30,18853.0341890466,19869.345791336702,18536.491206036895,19761.187912700098,1056287
2021-12-13 15:30:00+05:30,19869.404016825647,20097.351453299976,18839.089469938615,19133.471587953743,1272360
2021-12-14 15:30:00+05:30,18879.733555621726,19812.31467027039,18564.196534716393,19620.918741329348,936496
2021-12-15 15:30:00+05:30,19414.533142699212,19670.336968608754,19117.027333231585,19344.36111533076,934457
2021-12-16 15:30:00+05:30,19708.48534169269,20256.977673200625,19540.374690407978,19973.312139095557,751609
2021-12-17 15:30:00+05:30,20058.677562760087,20333.04762249233,19810.246335393535,19946.930598700892,777752
2021-12-20 15:30:00+05:30,20006.075419621207,20525.23332028595,19987.500129002452,20074.720078268416,738121
2021-12-21 15:30:00+05:30,20012.63345288824,20483.012429454277,19557.380981895934,20415.234450895023,797999
2021-12-22 15:30:00+05:30,20305.500746304933,20378.316033981893,19787.531461470404,20093.518365568398,937081
2021-12-23 15:30:00+05:30,20273.271691387326,20764.833583769552,20239.039298127936,20255.462181888048,1135883
2021-12-24 15:30:00+05:30,20204.062680335024,20347.195300449548,19945.834063702336,20220.148193332392,932101
2021-12-27 15:30:00+05:30,20237.879170239383,20399.370797683107,20192.25038229588,20275.830120542,930434
2021-12-28 15:30:00+05:30,20315.707259362644,20336.358892688244,20150.81812831682,20331.791729779994,834253
2021-12-29 15:30:00+05:30,20327.013537254083,20522.64603514621,20306.759236611026,20371.963048035035,741616
2021-12-30 15:30:00+05:30,20510.87465726341,20543.34263842737,20125.292562391944,20264.855180768445,541550
2021-12-31 15:30:00+05:30,20379.7630023958,20872.55156681396,20330.52479233927,20665.124330502626,848909
2022-01-03 15:30:00+05:30,20840.541266220844,21044.967177799517,20520.895240300684,20541.603226312734,984859
2022-01-04 15:30:00+05:30,20900.96821175804,21019.135915305495,20411.604423359964,20468.885698388272,703458
2022-01-05 15:30:00+05:30,20379.81006094253,20619.216605862704,20256.948605063262,20551.54643165792,817146
2022-01-06 15:30:00+05:30,20578.802314724453,20816.55771570133,20518.23997647751,20682.12456043555,738751
2022-01-07 15:30:00+05:30,20619.586874180553,20832.421989642873,20524.18163562418,20678.617136237976,994937
2022-01-10 15:30:00+05:30,20529.943773682513,20800.74439023805,20435.960442629934,20678.716424200815,626453
2022-01-11 15:30:00+05:30,20585.378702163343,20816.40724378185,20399.513313409374,20789.012520641852,895259
2022-01-12 15:30:00+05:30,20776.12033816995,20879.091793222255,20615.053708132156,20827.53894581163,685293
2022-01-13 15:30:00+05:30,20788.576076587076,20899.605939506782,20643.891412379733,20797.719600196935,1041159
2022-01-14 15:30:00+05:30,20782.98700705841,21195.296023591745,20747.163047087313,21022.320731854714,994999
2022-01-17 15:30:00+05:30,21060.35388258488,21135.358066830922,20889.604318832582,20990.689122963104,623280
